FIPS,FIPSTEXT,y17_M110_valueText,y17_M110_classRange,y17_M110_valueNumeric,y17_M111_valueText,y17_M111_classRange,y17_M111_valueNumeric,y17_M112_valueText,y17_M112_classRange,y17_M112_valueNumeric,y17_M113_valueText,y17_M113_classRange,y17_M113_valueNumeric,y17_M114_valueText,y17_M114_classRange,y17_M114_valueNumeric,y17_M115_valueText,y17_M115_classRange,y17_M115_valueNumeric,y17_M116_valueText,y17_M116_classRange,y17_M116_valueNumeric,y17_M117_valueText,y17_M117_classRange,y17_M117_valueNumeric,y17_M118_valueText,y17_M118_classRange,y17_M118_valueNumeric,y17_M119_valueText,y17_M119_classRange,y17_M119_valueNumeric,y17_M120_valueText,y17_M120_classRange,y17_M120_valueNumeric,y17_M121_valueText,y17_M121_classRange,y17_M121_valueNumeric,y17_M122_valueText,y17_M122_classRange,y17_M122_valueNumeric
0,00000,1.18,,1.18,10,,10.00,41261670,,41261670.00,44.06,,44.06,1.03,,1.03,1.44,,1.44,69812061,,69812061.00,1.72,,1.72,0.05,,0.05,2698636,,2698636.00,537799,,537799.00,2006439,,2006439.00,2847289,,2847289.00
1001,01001,0.20,Sparse Data,0.20,15,10 - 24,15.00,8678,"Less than 10,000",8678.00,52.70,45 - 54,52.70,-0.99,Sparse Data,-0.99,0.14,Sparse Data,0.14,7667,"Less than 20,000",7667.00,1.10,Sparse Data,1.10,(D),Sparse Data,,1189,"1,000 - 1,499",1189.00,81,Less than 100,81.00,1003,"1,000 - 1,499",1003.00,479,100 - 499,479.00
1003,01003,0.26,Negligible Change,0.26,13,10 - 24,13.00,11237,"10,000 - 24,999",11237.00,50.21,45 - 54,50.21,-0.58,Sparse Data,-0.58,0.25,Negligible Change,0.25,10352,"Less than 20,000",10352.00,-0.06,Sparse Data,-0.06,0.53,Sparse Data,0.53,940,500 - 999,940.00,169,100 - 499,169.00,771,500 - 999,771.00,1309,"1,000 - 1,499",1309.00
1005,01005,0.55,Negligible Change,0.55,15,10 - 24,15.00,13094,"10,000 - 24,999",13094.00,58.07,55 - 64,58.07,(D),Sparse Data,,(D),Negligible Change,,10266,"Less than 20,000",10266.00,(D),Sparse Data,,0.30,Sparse Data,0.30,272,100 - 499,272.00,(D),Less than 100,,224,100 - 499,224.00,250,100 - 499,250.00
1007,01007,0.78,Negligible Change,0.78,14,10 - 24,14.00,4362,"Less than 10,000",4362.00,54.47,45 - 54,54.47,(D),Sparse Data,,(D),Sparse Data,,2396,"Less than 20,000",2396.00,(D),Sparse Data,,-1.07,Sparse Data,-1.07,355,100 - 499,355.00,80,Less than 100,80.00,275,100 - 499,275.00,377,100 - 499,377.00
1009,01009,0.67,Negligible Change,0.67,31,25 - 49,31.00,21987,"10,000 - 24,999",21987.00,47.43,45 - 54,47.43,(D),Sparse Data,,(D),Sparse Data,,21601,"20,000 - 49,999",21601.00,0.53,Sparse Data,0.53,0.53,Negligible Change,0.53,594,500 - 999,594.00,103,100 - 499,103.00,398,100 - 499,398.00,1499,"1,000 - 1,499",1499.00
1011,01011,0.38,Sparse Data,0.38,9,Less than 10,9.00,6316,"Less than 10,000",6316.00,60.59,55 - 64,60.59,(D),Sparse Data,,(D),Sparse Data,,4594,"Less than 20,000",4594.00,0.81,Sparse Data,0.81,(D),Sparse Data,,518,500 - 999,518.00,0,Less than 100,0.00,518,500 - 999,518.00,269,100 - 499,269.00
1013,01013,0.39,Sparse Data,0.39,12,10 - 24,12.00,6396,"Less than 10,000",6396.00,64.29,55 - 64,64.29,(D),Sparse Data,,(D),Sparse Data,,4518,"Less than 20,000",4518.00,(D),Sparse Data,,(D),Sparse Data,,645,500 - 999,645.00,(D),Less than 100,,613,500 - 999,613.00,481,100 - 499,481.00
1015,01015,0.95,Negligible Change,0.95,23,10 - 24,23.00,11516,"10,000 - 24,999",11516.00,56.16,55 - 64,56.16,-0.22,Sparse Data,-0.22,0.76,Negligible Change,0.76,7563,"Less than 20,000",7563.00,(D),Sparse Data,,0.43,Sparse Data,0.43,987,500 - 999,987.00,(D),100 - 499,,861,500 - 999,861.00,1684,"1,500 - 1,999",1684.00
1017,01017,0.37,Negligible Change,0.37,16,10 - 24,16.00,10797,"10,000 - 24,999",10797.00,53.33,45 - 54,53.33,0.34,Sparse Data,0.34,0.35,Negligible Change,0.35,7787,"Less than 20,000",7787.00,-1.15,Sparse Data,-1.15,0.23,Sparse Data,0.23,592,500 - 999,592.00,0,Less than 100,0.00,(D),500 - 999,,412,100 - 499,412.00
1019,01019,-0.08,Sparse Data,-0.08,11,10 - 24,11.00,7415,"Less than 10,000",7415.00,57.82,55 - 64,57.82,(D),Sparse Data,,(D),Sparse Data,,5309,"Less than 20,000",5309.00,(D),Sparse Data,,-0.89,Negligible Change,-0.89,473,100 - 499,473.00,85,Less than 100,85.00,388,100 - 499,388.00,506,500 - 999,506.00
1021,01021,0.19,Sparse Data,0.19,17,10 - 24,17.00,7290,"Less than 10,000",7290.00,54.85,45 - 54,54.85,(D),Sparse Data,,(D),Sparse Data,,6647,"Less than 20,000",6647.00,(D),Sparse Data,,-0.01,Sparse Data,-0.01,728,500 - 999,728.00,35,Less than 100,35.00,684,500 - 999,684.00,707,500 - 999,707.00
1023,01023,0.89,Sparse Data,0.89,6,Less than 10,6.00,3290,"Less than 10,000",3290.00,63.11,55 - 64,63.11,(D),Sparse Data,,(D),Sparse Data,,2222,"Less than 20,000",2222.00,-1.18,Sparse Data,-1.18,-0.47,Sparse Data,-0.47,139,100 - 499,139.00,0,Less than 100,0.00,115,100 - 499,115.00,113,100 - 499,113.00
1025,01025,1.13,Slight Increase,1.13,11,10 - 24,11.00,3741,"Less than 10,000",3741.00,55.06,55 - 64,55.06,1.17,Sparse Data,1.17,0.81,Sparse Data,0.81,2574,"Less than 20,000",2574.00,-0.91,Sparse Data,-0.91,0.07,Sparse Data,0.07,533,500 - 999,533.00,0,Less than 100,0.00,(D),500 - 999,,417,100 - 499,417.00
1027,01027,0.25,Sparse Data,0.25,27,25 - 49,27.00,11642,"10,000 - 24,999",11642.00,60.41,55 - 64,60.41,(D),Sparse Data,,(D),Sparse Data,,8706,"Less than 20,000",8706.00,(D),Sparse Data,,0.68,Sparse Data,0.68,259,100 - 499,259.00,(D),Less than 100,,(D),100 - 499,,316,100 - 499,316.00
1029,01029,0.75,Negligible Change,0.75,28,25 - 49,28.00,7430,"Less than 10,000",7430.00,55.56,55 - 64,55.56,(D),Sparse Data,,(D),Negligible Change,,5597,"Less than 20,000",5597.00,-0.55,Sparse Data,-0.55,-0.06,Sparse Data,-0.06,289,100 - 499,289.00,0,Less than 100,0.00,238,100 - 499,238.00,289,100 - 499,289.00
1031,01031,0.68,Negligible Change,0.68,18,10 - 24,18.00,15034,"10,000 - 24,999",15034.00,47.61,45 - 54,47.61,(D),Sparse Data,,(D),Negligible Change,,14156,"Less than 20,000",14156.00,(D),Sparse Data,,0.36,Sparse Data,0.36,770,500 - 999,770.00,39,Less than 100,39.00,731,500 - 999,731.00,615,500 - 999,615.00
1033,01033,-0.54,Negligible Change,-0.54,11,10 - 24,11.00,9069,"Less than 10,000",9069.00,57.19,55 - 64,57.19,(D),Sparse Data,,(D),Negligible Change,,7136,"Less than 20,000",7136.00,1.06,Sparse Data,1.06,0.29,Sparse Data,0.29,338,100 - 499,338.00,45,Less than 100,45.00,258,100 - 499,258.00,1130,"1,000 - 1,499",1130.00
1035,01035,0.57,Negligible Change,0.57,11,10 - 24,11.00,6868,"Less than 10,000",6868.00,59.45,55 - 64,59.45,(D),Sparse Data,,(D),Negligible Change,,5359,"Less than 20,000",5359.00,(D),Sparse Data,,-0.20,Sparse Data,-0.20,417,100 - 499,417.00,(D),Less than 100,,(D),100 - 499,,454,100 - 499,454.00
1037,01037,1.38,Slight Increase,1.38,12,10 - 24,12.00,3236,"Less than 10,000",3236.00,57.14,55 - 64,57.14,(D),Sparse Data,,(D),Slight Increase,,2083,"Less than 20,000",2083.00,1.29,Sparse Data,1.29,0.23,Sparse Data,0.23,56,Less than 100,56.00,23,Less than 100,23.00,33,Less than 100,33.00,312,100 - 499,312.00
1039,01039,0.05,Sparse Data,0.05,17,10 - 24,17.00,14751,"10,000 - 24,999",14751.00,53.99,45 - 54,53.99,(D),Sparse Data,,(D),Negligible Change,,11945,"Less than 20,000",11945.00,0.79,Sparse Data,0.79,-0.12,Sparse Data,-0.12,1090,"1,000 - 1,499",1090.00,141,100 - 499,141.00,856,500 - 999,856.00,612,500 - 999,612.00
1041,01041,-0.45,Negligible Change,-0.45,19,10 - 24,19.00,12140,"10,000 - 24,999",12140.00,55.49,55 - 64,55.49,1.17,Sparse Data,1.17,-0.44,Negligible Change,-0.44,9662,"Less than 20,000",9662.00,1.72,Sparse Data,1.72,(D),Sparse Data,,371,100 - 499,371.00,28,Less than 100,28.00,318,100 - 499,318.00,383,100 - 499,383.00
1043,01043,0.06,Sparse Data,0.06,28,25 - 49,28.00,33616,"25,000 - 49,999",33616.00,57.52,55 - 64,57.52,-0.48,Negligible Change,-0.48,-0.07,Sparse Data,-0.07,24625,"20,000 - 49,999",24625.00,1.59,Sparse Data,1.59,0.34,Sparse Data,0.34,2570,"2,000 or more",2570.00,257,100 - 499,257.00,2257,"2,000 or more",2257.00,1758,"1,500 - 1,999",1758.00
1045,01045,0.63,Negligible Change,0.63,10,10 - 24,10.00,8000,"Less than 10,000",8000.00,60.58,55 - 64,60.58,(D),Sparse Data,,(D),Negligible Change,,6031,"Less than 20,000",6031.00,-1.35,Sparse Data,-1.35,0.06,Sparse Data,0.06,486,100 - 499,486.00,0,Less than 100,0.00,(D),100 - 499,,394,100 - 499,394.00
1047,01047,0.47,Negligible Change,0.47,10,10 - 24,10.00,14601,"10,000 - 24,999",14601.00,56.38,55 - 64,56.38,-0.86,Sparse Data,-0.86,0.25,Negligible Change,0.25,12566,"Less than 20,000",12566.00,0.99,Sparse Data,0.99,(D),Sparse Data,,434,100 - 499,434.00,120,100 - 499,120.00,278,100 - 499,278.00,480,100 - 499,480.00
1049,01049,0.25,Negligible Change,0.25,25,25 - 49,25.00,37288,"25,000 - 49,999",37288.00,59.34,55 - 64,59.34,-0.18,Sparse Data,-0.18,0.08,Negligible Change,0.08,27574,"20,000 - 49,999",27574.00,-1.30,Slight Decrease,-1.30,0.42,Negligible Change,0.42,2120,"2,000 or more",2120.00,220,100 - 499,220.00,1762,"1,500 - 1,999",1762.00,1760,"1,500 - 1,999",1760.00
1051,01051,0.45,Sparse Data,0.45,12,10 - 24,12.00,6918,"Less than 10,000",6918.00,59.11,55 - 64,59.11,0.13,Sparse Data,0.13,0.08,Sparse Data,0.08,5256,"Less than 20,000",5256.00,-0.52,Sparse Data,-0.52,0.50,Sparse Data,0.50,859,500 - 999,859.00,159,100 - 499,159.00,700,500 - 999,700.00,746,500 - 999,746.00
1053,01053,-0.56,Negligible Change,-0.56,9,Less than 10,9.00,4587,"Less than 10,000",4587.00,47.15,45 - 54,47.15,(D),Sparse Data,,(D),Negligible Change,,4406,"Less than 20,000",4406.00,1.41,Sparse Data,1.41,-0.35,Sparse Data,-0.35,518,500 - 999,518.00,63,Less than 100,63.00,455,100 - 499,455.00,499,100 - 499,499.00
1055,01055,0.12,Sparse Data,0.12,22,10 - 24,22.00,9120,"Less than 10,000",9120.00,45.49,45 - 54,45.49,0.02,Sparse Data,0.02,-0.34,Negligible Change,-0.34,12794,"Less than 20,000",12794.00,0.37,Sparse Data,0.37,0.37,Sparse Data,0.37,1281,"1,000 - 1,499",1281.00,307,100 - 499,307.00,837,500 - 999,837.00,774,500 - 999,774.00
1057,01057,0.81,Negligible Change,0.81,16,10 - 24,16.00,5980,"Less than 10,000",5980.00,55.31,55 - 64,55.31,(D),Negligible Change,,(D),Negligible Change,,4105,"Less than 20,000",4105.00,-1.04,Sparse Data,-1.04,(D),Sparse Data,,331,100 - 499,331.00,(D),Less than 100,,211,100 - 499,211.00,310,100 - 499,310.00
1059,01059,-0.10,Sparse Data,-0.10,20,10 - 24,20.00,15579,"10,000 - 24,999",15579.00,59.54,55 - 64,59.54,-0.79,Sparse Data,-0.79,-0.21,Negligible Change,-0.21,10724,"Less than 20,000",10724.00,-1.25,Sparse Data,-1.25,0.17,Sparse Data,0.17,1006,"1,000 - 1,499",1006.00,(D),Less than 100,,(D),500 - 999,,531,500 - 999,531.00
1061,01061,0.30,Negligible Change,0.30,17,10 - 24,17.00,15465,"10,000 - 24,999",15465.00,48.64,45 - 54,48.64,(D),Sparse Data,,(D),Sparse Data,,17058,"Less than 20,000",17058.00,-0.71,Sparse Data,-0.71,-0.54,Sparse Data,-0.54,1044,"1,000 - 1,499",1044.00,114,100 - 499,114.00,836,500 - 999,836.00,548,500 - 999,548.00
1063,01063,0.54,Negligible Change,0.54,8,Less than 10,8.00,7356,"Less than 10,000",7356.00,56.68,55 - 64,56.68,(D),Sparse Data,,(D),Sparse Data,,4305,"Less than 20,000",4305.00,1.05,Sparse Data,1.05,(D),Sparse Data,,482,100 - 499,482.00,(D),100 - 499,,(D),100 - 499,,156,100 - 499,156.00
1065,01065,0.44,Negligible Change,0.44,18,10 - 24,18.00,14636,"10,000 - 24,999",14636.00,50.77,45 - 54,50.77,(D),Sparse Data,,(D),Sparse Data,,15305,"Less than 20,000",15305.00,(D),Sparse Data,,0.53,Sparse Data,0.53,113,100 - 499,113.00,0,Less than 100,0.00,(D),100 - 499,,253,100 - 499,253.00
1067,01067,0.75,Negligible Change,0.75,11,10 - 24,11.00,9520,"Less than 10,000",9520.00,47.78,45 - 54,47.78,(D),Sparse Data,,(D),Negligible Change,,8619,"Less than 20,000",8619.00,0.16,Sparse Data,0.16,(D),Sparse Data,,212,100 - 499,212.00,0,Less than 100,0.00,212,100 - 499,212.00,264,100 - 499,264.00
1069,01069,0.24,Sparse Data,0.24,15,10 - 24,15.00,12350,"10,000 - 24,999",12350.00,57.20,55 - 64,57.20,(D),Sparse Data,,(D),Sparse Data,,10123,"Less than 20,000",10123.00,(D),Sparse Data,,-0.87,Sparse Data,-0.87,823,500 - 999,823.00,(D),Less than 100,,786,500 - 999,786.00,1030,"1,000 - 1,499",1030.00
1071,01071,0.18,Negligible Change,0.18,18,10 - 24,18.00,22501,"10,000 - 24,999",22501.00,57.16,55 - 64,57.16,(D),Sparse Data,,(D),Negligible Change,,15972,"Less than 20,000",15972.00,(D),Sparse Data,,-0.09,Sparse Data,-0.09,2340,"2,000 or more",2340.00,274,100 - 499,274.00,1956,"1,500 - 1,999",1956.00,1362,"1,000 - 1,499",1362.00
1073,01073,0.20,Sparse Data,0.20,14,10 - 24,14.00,3081,"Less than 10,000",3081.00,58.16,55 - 64,58.16,(D),Sparse Data,,(D),Sparse Data,,1943,"Less than 20,000",1943.00,0.66,Sparse Data,0.66,0.07,Sparse Data,0.07,506,500 - 999,506.00,24,Less than 100,24.00,410,100 - 499,410.00,559,500 - 999,559.00
1075,01075,-0.37,Sparse Data,-0.37,7,Less than 10,7.00,3419,"Less than 10,000",3419.00,61.88,55 - 64,61.88,(D),Sparse Data,,(D),Sparse Data,,2417,"Less than 20,000",2417.00,-1.72,Sparse Data,-1.72,0.24,Sparse Data,0.24,258,100 - 499,258.00,(D),Less than 100,,177,100 - 499,177.00,265,100 - 499,265.00
1077,01077,0.06,Sparse Data,0.06,14,10 - 24,14.00,16404,"10,000 - 24,999",16404.00,54.10,45 - 54,54.10,-0.11,Sparse Data,-0.11,-0.11,Sparse Data,-0.11,14304,"Less than 20,000",14304.00,1.44,Sparse Data,1.44,-0.06,Sparse Data,-0.06,2228,"2,000 or more",2228.00,124,100 - 499,124.00,1960,"1,500 - 1,999",1960.00,2005,"2,000 or more",2005.00
1079,01079,0.13,Sparse Data,0.13,15,10 - 24,15.00,16689,"10,000 - 24,999",16689.00,53.51,45 - 54,53.51,-0.11,Sparse Data,-0.11,-0.20,Negligible Change,-0.20,16036,"Less than 20,000",16036.00,1.69,Sparse Data,1.69,0.12,Sparse Data,0.12,1203,"1,000 - 1,499",1203.00,294,100 - 499,294.00,837,500 - 999,837.00,1839,"1,500 - 1,999",1839.00
1081,01081,1.07,Slight Increase,1.07,12,10 - 24,12.00,4654,"Less than 10,000",4654.00,58.83,55 - 64,58.83,(D),Sparse Data,,(D),Negligible Change,,3378,"Less than 20,000",3378.00,1.99,Sparse Data,1.99,(D),Negligible Change,,592,500 - 999,592.00,(D),Less than 100,,542,500 - 999,542.00,621,500 - 999,621.00
1083,01083,-0.41,Negligible Change,-0.41,10,10 - 24,10.00,12794,"10,000 - 24,999",12794.00,58.08,55 - 64,58.08,(D),Sparse Data,,(D),Negligible Change,,10573,"Less than 20,000",10573.00,0.39,Sparse Data,0.39,0.31,Sparse Data,0.31,2548,"2,000 or more",2548.00,376,100 - 499,376.00,2164,"2,000 or more",2164.00,1110,"1,000 - 1,499",1110.00
1085,01085,-0.25,Negligible Change,-0.25,20,10 - 24,20.00,17933,"10,000 - 24,999",17933.00,44.64,35 - 44,44.64,0.70,Sparse Data,0.70,-0.37,Negligible Change,-0.37,22789,"20,000 - 49,999",22789.00,2.01,Sparse Data,2.01,0.38,Sparse Data,0.38,340,100 - 499,340.00,0,Less than 100,0.00,340,100 - 499,340.00,601,500 - 999,601.00
1087,01087,1.25,Slight Increase,1.25,10,10 - 24,10.00,6302,"Less than 10,000",6302.00,50.01,45 - 54,50.01,(D),Sparse Data,,(D),Negligible Change,,4209,"Less than 20,000",4209.00,(D),Sparse Data,,(D),Sparse Data,,637,500 - 999,637.00,(D),100 - 499,,407,100 - 499,407.00,557,500 - 999,557.00
1089,01089,-0.43,Negligible Change,-0.43,9,Less than 10,9.00,9208,"Less than 10,000",9208.00,57.86,55 - 64,57.86,0.69,Sparse Data,0.69,-0.56,Negligible Change,-0.56,6811,"Less than 20,000",6811.00,-0.06,Sparse Data,-0.06,-0.50,Sparse Data,-0.50,1450,"1,000 - 1,499",1450.00,150,100 - 499,150.00,1300,"1,000 - 1,499",1300.00,1710,"1,500 - 1,999",1710.00
1091,01091,-0.07,Sparse Data,-0.07,14,10 - 24,14.00,12873,"10,000 - 24,999",12873.00,64.35,55 - 64,64.35,(D),Sparse Data,,(D),Sparse Data,,8837,"Less than 20,000",8837.00,0.69,Sparse Data,0.69,0.55,Sparse Data,0.55,467,100 - 499,467.00,(D),Less than 100,,451,100 - 499,451.00,413,100 - 499,413.00
1093,01093,0.27,Sparse Data,0.27,18,10 - 24,18.00,8781,"Less than 10,000",8781.00,59.00,55 - 64,59.00,-0.36,Sparse Data,-0.36,0.09,Sparse Data,0.09,5757,"Less than 20,000",5757.00,-0.15,Sparse Data,-0.15,0.25,Sparse Data,0.25,313,100 - 499,313.00,40,Less than 100,40.00,273,100 - 499,273.00,1117,"1,000 - 1,499",1117.00
1095,01095,0.02,Sparse Data,0.02,27,25 - 49,27.00,22923,"10,000 - 24,999",22923.00,58.69,55 - 64,58.69,1.17,Sparse Data,1.17,-0.15,Negligible Change,-0.15,15855,"Less than 20,000",15855.00,-1.63,Sparse Data,-1.63,0.37,Sparse Data,0.37,1520,"1,500 - 1,999",1520.00,201,100 - 499,201.00,1289,"1,000 - 1,499",1289.00,2142,"2,000 or more",2142.00
1097,01097,0.29,Sparse Data,0.29,20,10 - 24,20.00,8620,"Less than 10,000",8620.00,45.43,45 - 54,45.43,(D),Sparse Data,,(D),Sparse Data,,10922,"Less than 20,000",10922.00,1.58,Sparse Data,1.58,0.06,Sparse Data,0.06,1040,"1,000 - 1,499",1040.00,207,100 - 499,207.00,799,500 - 999,799.00,1046,"1,000 - 1,499",1046.00
1099,01099,0.61,Negligible Change,0.61,11,10 - 24,11.00,9293,"Less than 10,000",9293.00,58.48,55 - 64,58.48,(D),Sparse Data,,(D),Sparse Data,,6516,"Less than 20,000",6516.00,(D),Sparse Data,,0.75,Sparse Data,0.75,1600,"1,500 - 1,999",1600.00,219,100 - 499,219.00,1201,"1,000 - 1,499",1201.00,452,100 - 499,452.00
1101,01101,-0.76,Negligible Change,-0.76,20,10 - 24,20.00,22534,"10,000 - 24,999",22534.00,47.76,45 - 54,47.76,(D),Sparse Data,,(D),Negligible Change,,23953,"20,000 - 49,999",23953.00,1.87,Sparse Data,1.87,-0.52,Sparse Data,-0.52,1225,"1,000 - 1,499",1225.00,67,Less than 100,67.00,948,500 - 999,948.00,1054,"1,000 - 1,499",1054.00
1103,01103,-0.38,Negligible Change,-0.38,22,10 - 24,22.00,16618,"10,000 - 24,999",16618.00,55.98,55 - 64,55.98,-0.24,Sparse Data,-0.24,-0.53,Negligible Change,-0.53,13339,"Less than 20,000",13339.00,0.18,Sparse Data,0.18,-0.52,Negligible Change,-0.52,1249,"1,000 - 1,499",1249.00,90,Less than 100,90.00,1114,"1,000 - 1,499",1114.00,1603,"1,500 - 1,999",1603.00
1105,01105,-0.87,Negligible Change,-0.87,10,10 - 24,10.00,10374,"10,000 - 24,999",10374.00,62.31,55 - 64,62.31,(D),Sparse Data,,(D),Negligible Change,,7614,"Less than 20,000",7614.00,1.45,Sparse Data,1.45,-1.01,Sparse Data,-1.01,363,100 - 499,363.00,0,Less than 100,0.00,363,100 - 499,363.00,334,100 - 499,334.00
1107,01107,0.31,Sparse Data,0.31,13,10 - 24,13.00,6944,"Less than 10,000",6944.00,50.72,45 - 54,50.72,-0.99,Sparse Data,-0.99,0.25,Sparse Data,0.25,6456,"Less than 20,000",6456.00,(D),Sparse Data,,-1.17,Sparse Data,-1.17,423,100 - 499,423.00,(D),Less than 100,,(D),100 - 499,,414,100 - 499,414.00
1109,01109,0.06,Sparse Data,0.06,15,10 - 24,15.00,14390,"10,000 - 24,999",14390.00,58.95,55 - 64,58.95,(D),Sparse Data,,(D),Sparse Data,,10520,"Less than 20,000",10520.00,(D),Sparse Data,,0.34,Sparse Data,0.34,303,100 - 499,303.00,(D),Less than 100,,255,100 - 499,255.00,653,500 - 999,653.00
1111,01111,0.22,Negligible Change,0.22,22,10 - 24,22.00,15335,"10,000 - 24,999",15335.00,58.25,55 - 64,58.25,(D),Sparse Data,,(D),Sparse Data,,10621,"Less than 20,000",10621.00,1.11,Sparse Data,1.11,0.33,Sparse Data,0.33,440,100 - 499,440.00,20,Less than 100,20.00,420,100 - 499,420.00,531,500 - 999,531.00
1113,01113,0.54,Sparse Data,0.54,8,Less than 10,8.00,4482,"Less than 10,000",4482.00,57.97,55 - 64,57.97,(D),Sparse Data,,(D),Sparse Data,,2996,"Less than 20,000",2996.00,(D),Sparse Data,,0.11,Sparse Data,0.11,432,100 - 499,432.00,(D),100 - 499,,219,100 - 499,219.00,444,100 - 499,444.00
1115,01115,0.21,Sparse Data,0.21,19,10 - 24,19.00,6805,"Less than 10,000",6805.00,59.32,55 - 64,59.32,(D),Sparse Data,,(D),Sparse Data,,4113,"Less than 20,000",4113.00,(D),Sparse Data,,(D),Sparse Data,,537,500 - 999,537.00,(D),Less than 100,,491,100 - 499,491.00,754,500 - 999,754.00
1117,01117,0.60,Sparse Data,0.60,14,10 - 24,14.00,3968,"Less than 10,000",3968.00,43.14,35 - 44,43.14,(D),Sparse Data,,(D),Sparse Data,,2861,"Less than 20,000",2861.00,1.40,Sparse Data,1.40,-0.13,Sparse Data,-0.13,692,500 - 999,692.00,120,100 - 499,120.00,572,500 - 999,572.00,1311,"1,000 - 1,499",1311.00
1119,01119,-0.50,Negligible Change,-0.50,11,10 - 24,11.00,10812,"10,000 - 24,999",10812.00,55.11,55 - 64,55.11,0.00,Sparse Data,0.00,-0.38,Negligible Change,-0.38,9690,"Less than 20,000",9690.00,(D),Slight Decrease,,(D),Negligible Change,,6,Less than 100,6.00,0,Less than 100,0.00,6,Less than 100,6.00,447,100 - 499,447.00
1121,01121,-0.01,Sparse Data,-0.01,17,10 - 24,17.00,7282,"Less than 10,000",7282.00,53.83,45 - 54,53.83,1.17,Sparse Data,1.17,-0.31,Negligible Change,-0.31,4719,"Less than 20,000",4719.00,1.87,Sparse Data,1.87,-0.40,Sparse Data,-0.40,511,500 - 999,511.00,8,Less than 100,8.00,503,500 - 999,503.00,875,500 - 999,875.00
1123,01123,1.09,Slight Increase,1.09,14,10 - 24,14.00,4300,"Less than 10,000",4300.00,47.41,45 - 54,47.41,(D),Sparse Data,,(D),Sparse Data,,4380,"Less than 20,000",4380.00,-0.70,Sparse Data,-0.70,-0.30,Sparse Data,-0.30,507,500 - 999,507.00,(D),100 - 499,,383,100 - 499,383.00,681,500 - 999,681.00
1125,01125,0.79,Negligible Change,0.79,11,10 - 24,11.00,6002,"Less than 10,000",6002.00,58.04,55 - 64,58.04,(D),Sparse Data,,(D),Negligible Change,,4693,"Less than 20,000",4693.00,-0.30,Sparse Data,-0.30,0.72,Sparse Data,0.72,1025,"1,000 - 1,499",1025.00,86,Less than 100,86.00,899,500 - 999,899.00,1061,"1,000 - 1,499",1061.00
1127,01127,0.50,Sparse Data,0.50,17,10 - 24,17.00,6213,"Less than 10,000",6213.00,56.13,55 - 64,56.13,1.17,Sparse Data,1.17,0.37,Sparse Data,0.37,3926,"Less than 20,000",3926.00,0.10,Sparse Data,0.10,0.00,Sparse Data,0.00,490,100 - 499,490.00,(D),Less than 100,,443,100 - 499,443.00,694,500 - 999,694.00
1129,01129,0.68,Negligible Change,0.68,10,10 - 24,10.00,6904,"Less than 10,000",6904.00,60.64,55 - 64,60.64,-0.22,Sparse Data,-0.22,0.72,Negligible Change,0.72,5334,"Less than 20,000",5334.00,0.11,Sparse Data,0.11,0.55,Sparse Data,0.55,945,500 - 999,945.00,(D),Less than 100,,892,500 - 999,892.00,271,100 - 499,271.00
1131,01131,0.73,Negligible Change,0.73,10,10 - 24,10.00,7565,"Less than 10,000",7565.00,45.47,45 - 54,45.47,(D),Sparse Data,,(D),Sparse Data,,7023,"Less than 20,000",7023.00,0.52,Sparse Data,0.52,0.51,Sparse Data,0.51,644,500 - 999,644.00,0,Less than 100,0.00,644,500 - 999,644.00,217,100 - 499,217.00
1133,01133,-0.23,Sparse Data,-0.23,20,10 - 24,20.00,7113,"Less than 10,000",7113.00,61.13,55 - 64,61.13,(D),Sparse Data,,(D),Negligible Change,,4678,"Less than 20,000",4678.00,-0.33,Sparse Data,-0.33,0.24,Sparse Data,0.24,648,500 - 999,648.00,109,100 - 499,109.00,539,500 - 999,539.00,462,100 - 499,462.00
2010,02010,298.67,Significant Increase,298.67,2,Less than 10,2.00,4542,"Less than 10,000",4542.00,39.79,35 - 44,39.79,(D),Sparse Data,,(D),Sparse Data,,400,"Less than 20,000",400.00,(D),Sparse Data,,(D),Sparse Data,,0,Less than 100,0.00,0,Less than 100,0.00,0,Less than 100,0.00,437,100 - 499,437.00
2020,02020,113.62,Sparse Data,113.62,4,Less than 10,4.00,666,"Less than 10,000",666.00,44.40,35 - 44,44.40,(D),Sparse Data,,(D),Sparse Data,,795,"Less than 20,000",795.00,1.88,Sparse Data,1.88,1.14,Sparse Data,1.14,455,100 - 499,455.00,243,100 - 499,243.00,(D),100 - 499,,407,100 - 499,407.00
2090,02090,-17.77,Sparse Data,-17.77,2,Less than 10,2.00,713,"Less than 10,000",713.00,45.36,45 - 54,45.36,-27.39,Sparse Data,-27.39,-131.35,Sparse Data,-131.35,493,"Less than 20,000",493.00,4.60,Sparse Data,4.60,-2.11,Sparse Data,-2.11,172,100 - 499,172.00,82,Less than 100,82.00,(D),Less than 100,,331,100 - 499,331.00
2110,02110,(D),Sparse Data,,(D),Less than 10,,(D),"Less than 10,000",,(D),65 or more,,(D),Sparse Data,,(D),Sparse Data,,0,"Less than 20,000",0.00,(D),Sparse Data,,(D),Sparse Data,,(D),Less than 100,,(D),Less than 100,,(D),Less than 100,,40,Less than 100,40.00
