FIPS,FIPSTEXT,y17_M110_valueText,y17_M110_classRange,y17_M110_valueNumeric,y17_M111_valueText,y17_M111_classRange,y17_M111_valueNumeric,y17_M112_valueText,y17_M112_classRange,y17_M112_valueNumeric,y17_M113_valueText,y17_M113_classRange,y17_M113_valueNumeric,y17_M114_valueText,y17_M114_classRange,y17_M114_valueNumeric,y17_M115_valueText,y17_M115_classRange,y17_M115_valueNumeric,y17_M116_valueText,y17_M116_classRange,y17_M116_valueNumeric,y17_M117_valueText,y17_M117_classRange,y17_M117_valueNumeric,y17_M118_valueText,y17_M118_classRange,y17_M118_valueNumeric,y17_M119_valueText,y17_M119_classRange,y17_M119_valueNumeric,y17_M120_valueText,y17_M120_classRange,y17_M120_valueNumeric,y17_M121_valueText,y17_M121_classRange,y17_M121_valueNumeric,y17_M122_valueText,y17_M122_classRange,y17_M122_valueNumeric
46011,46011,0.15,Negligible Change,0.15,19,10 - 24,19.00,37904,"25,000 - 49,999",37904.00,43.10,35 - 44,43.10,2.42,Significant Increase,2.42,0.07,Sparse Data,0.07,58366,"50,000 - 99,999",58366.00,1.36,Slight Increase,1.36,-1.23,Slight Decrease,-1.23,743,500 - 999,743.00,58,Less than 100,58.00,679,500 - 999,679.00,964,500 - 999,964.00
46013,46013,0.28,Negligible Change,0.28,6,Less than 10,6.00,30793,"25,000 - 49,999",30793.00,51.02,45 - 54,51.02,6.78,Significant Increase,6.78,0.40,Negligible Change,0.40,49290,"20,000 - 49,999",49290.00,(D),Sparse Data,,-0.22,Sparse Data,-0.22,360,100 - 499,360.00,175,100 - 499,175.00,180,100 - 499,180.00,619,500 - 999,619.00
46015,46015,0.79,Negligible Change,0.79,19,10 - 24,19.00,39640,"25,000 - 49,999",39640.00,41.38,35 - 44,41.38,(D),Sparse Data,,(D),Negligible Change,,71390,"50,000 - 99,999",71390.00,-1.30,Sparse Data,-1.30,1.55,Sparse Data,1.55,684,500 - 999,684.00,78,Less than 100,78.00,606,500 - 999,606.00,482,100 - 499,482.00
46017,46017,0.33,Negligible Change,0.33,11,10 - 24,11.00,14923,"10,000 - 24,999",14923.00,45.24,45 - 54,45.24,-24.04,Sparse Data,-24.04,0.19,Sparse Data,0.19,17578,"Less than 20,000",17578.00,0.00,Sparse Data,0.00,-0.18,Sparse Data,-0.18,51,Less than 100,51.00,21,Less than 100,21.00,30,Less than 100,30.00,139,100 - 499,139.00
46019,46019,0.46,Negligible Change,0.46,6,Less than 10,6.00,38772,"25,000 - 49,999",38772.00,53.64,45 - 54,53.64,-8.34,Sparse Data,-8.34,0.73,Negligible Change,0.73,49272,"20,000 - 49,999",49272.00,(D),Sparse Data,,-0.29,Negligible Change,-0.29,280,100 - 499,280.00,121,100 - 499,121.00,159,100 - 499,159.00,2643,"2,000 or more",2643.00
46021,46021,0.40,Negligible Change,0.40,9,Less than 10,9.00,18938,"10,000 - 24,999",18938.00,49.08,45 - 54,49.08,-24.04,Sparse Data,-24.04,0.42,Negligible Change,0.42,25757,"20,000 - 49,999",25757.00,(D),Sparse Data,,(D),Sparse Data,,0,Less than 100,0.00,0,Less than 100,0.00,0,Less than 100,0.00,162,100 - 499,162.00
46023,46023,0.43,Negligible Change,0.43,17,10 - 24,17.00,46826,"25,000 - 49,999",46826.00,40.55,35 - 44,40.55,-0.97,Sparse Data,-0.97,0.37,Negligible Change,0.37,69552,"50,000 - 99,999",69552.00,1.10,Slight Increase,1.10,0.14,Sparse Data,0.14,645,500 - 999,645.00,(D),Less than 100,,(D),500 - 999,,1117,"1,000 - 1,499",1117.00
46025,46025,-0.50,Negligible Change,-0.50,11,10 - 24,11.00,23746,"10,000 - 24,999",23746.00,35.30,35 - 44,35.30,(D),Significant Increase,,(D),Negligible Change,,53406,"50,000 - 99,999",53406.00,0.39,Sparse Data,0.39,0.22,Sparse Data,0.22,104,100 - 499,104.00,28,Less than 100,28.00,37,Less than 100,37.00,312,100 - 499,312.00
46027,46027,0.89,Negligible Change,0.89,6,Less than 10,6.00,5108,"Less than 10,000",5108.00,35.63,35 - 44,35.63,(D),Sparse Data,,(D),Negligible Change,,8426,"Less than 20,000",8426.00,0.22,Sparse Data,0.22,-0.41,Sparse Data,-0.41,1131,"1,000 - 1,499",1131.00,270,100 - 499,270.00,861,500 - 999,861.00,177,100 - 499,177.00
46029,46029,-1.05,Slight Decrease,-1.05,12,10 - 24,12.00,20251,"10,000 - 24,999",20251.00,42.58,35 - 44,42.58,-2.37,Significant Decrease,-2.37,-0.04,Sparse Data,-0.04,29542,"20,000 - 49,999",29542.00,(D),Sparse Data,,(D),Slight Increase,,302,100 - 499,302.00,44,Less than 100,44.00,258,100 - 499,258.00,1319,"1,000 - 1,499",1319.00
46031,46031,0.38,Negligible Change,0.38,9,Less than 10,9.00,57648,"50,000 - 99,999",57648.00,51.68,45 - 54,51.68,(D),Sparse Data,,(D),Negligible Change,,70603,"50,000 - 99,999",70603.00,(D),Sparse Data,,(D),Sparse Data,,175,100 - 499,175.00,126,100 - 499,126.00,49,Less than 100,49.00,1161,"1,000 - 1,499",1161.00
46033,46033,0.24,Sparse Data,0.24,5,Less than 10,5.00,20364,"10,000 - 24,999",20364.00,71.06,65 or more,71.06,0.43,Sparse Data,0.43,0.49,Negligible Change,0.49,20746,"20,000 - 49,999",20746.00,3.74,Sparse Data,3.74,-3.11,Sparse Data,-3.11,421,100 - 499,421.00,(D),100 - 499,,(D),100 - 499,,1273,"1,000 - 1,499",1273.00
46035,46035,0.13,Sparse Data,0.13,9,Less than 10,9.00,13552,"10,000 - 24,999",13552.00,55.54,55 - 64,55.54,5.05,Significant Increase,5.05,0.46,Negligible Change,0.46,14337,"Less than 20,000",14337.00,-0.05,Sparse Data,-0.05,-3.13,Significant Decrease,-3.13,246,100 - 499,246.00,(D),Less than 100,,(D),100 - 499,,548,500 - 999,548.00
46037,46037,-0.24,Negligible Change,-0.24,6,Less than 10,6.00,19322,"10,000 - 24,999",19322.00,49.93,45 - 54,49.93,-0.20,Sparse Data,-0.20,0.30,Negligible Change,0.30,21920,"20,000 - 49,999",21920.00,-6.08,Sparse Data,-6.08,-1.09,Sparse Data,-1.09,447,100 - 499,447.00,45,Less than 100,45.00,402,100 - 499,402.00,299,100 - 499,299.00
46039,46039,0.31,Negligible Change,0.31,20,10 - 24,20.00,27842,"25,000 - 49,999",27842.00,42.48,35 - 44,42.48,2.06,Significant Increase,2.06,0.29,Negligible Change,0.29,45287,"20,000 - 49,999",45287.00,(D),Significant Increase,,-0.74,Negligible Change,-0.74,(D),"1,500 - 1,999",,0,Less than 100,0.00,(D),"1,500 - 1,999",,520,500 - 999,520.00
46041,46041,0.08,Sparse Data,0.08,6,Less than 10,6.00,46648,"25,000 - 49,999",46648.00,72.44,65 or more,72.44,(D),Sparse Data,,(D),Negligible Change,,45689,"20,000 - 49,999",45689.00,(D),Sparse Data,,-3.77,Significant Decrease,-3.77,0,Less than 100,0.00,0,Less than 100,0.00,0,Less than 100,0.00,2932,"2,000 or more",2932.00
46043,46043,-0.50,Negligible Change,-0.50,16,10 - 24,16.00,15759,"10,000 - 24,999",15759.00,35.53,35 - 44,35.53,-0.19,Sparse Data,-0.19,0.39,Negligible Change,0.39,36730,"20,000 - 49,999",36730.00,1.99,Significant Increase,1.99,1.06,Slight Increase,1.06,788,500 - 999,788.00,30,Less than 100,30.00,758,500 - 999,758.00,78,Less than 100,78.00
46045,46045,-0.61,Negligible Change,-0.61,7,Less than 10,7.00,22163,"10,000 - 24,999",22163.00,41.54,35 - 44,41.54,(D),Sparse Data,,(D),Negligible Change,,47438,"20,000 - 49,999",47438.00,-0.35,Sparse Data,-0.35,-3.99,Significant Decrease,-3.99,577,500 - 999,577.00,(D),Less than 100,,(D),500 - 999,,77,Less than 100,77.00
46047,46047,0.00,Sparse Data,0.00,7,Less than 10,7.00,49392,"25,000 - 49,999",49392.00,79.85,65 or more,79.85,-17.32,Sparse Data,-17.32,0.57,Negligible Change,0.57,72514,"50,000 - 99,999",72514.00,2.46,Sparse Data,2.46,-3.93,Significant Decrease,-3.93,131,100 - 499,131.00,68,Less than 100,68.00,63,Less than 100,63.00,1640,"1,500 - 1,999",1640.00
46049,46049,-0.07,Sparse Data,-0.07,8,Less than 10,8.00,26865,"25,000 - 49,999",26865.00,53.92,45 - 54,53.92,(D),Sparse Data,,(D),Negligible Change,,34458,"20,000 - 49,999",34458.00,1.10,Slight Increase,1.10,-2.49,Significant Decrease,-2.49,(D),Less than 100,,0,Less than 100,0.00,(D),Less than 100,,238,100 - 499,238.00
46051,46051,-0.79,Negligible Change,-0.79,17,10 - 24,17.00,36415,"25,000 - 49,999",36415.00,51.29,45 - 54,51.29,4.58,Significant Increase,4.58,0.65,Negligible Change,0.65,44983,"20,000 - 49,999",44983.00,(D),Sparse Data,,1.07,Sparse Data,1.07,70,Less than 100,70.00,5,Less than 100,5.00,65,Less than 100,65.00,355,100 - 499,355.00
46053,46053,-0.15,Negligible Change,-0.15,15,10 - 24,15.00,39181,"25,000 - 49,999",39181.00,46.68,45 - 54,46.68,-3.20,Sparse Data,-3.20,0.24,Negligible Change,0.24,40218,"20,000 - 49,999",40218.00,(D),Sparse Data,,1.01,Sparse Data,1.01,108,100 - 499,108.00,30,Less than 100,30.00,78,Less than 100,78.00,658,500 - 999,658.00
